rowid,brainfield,ENSEMBL,SYMBOL,GENENAME,MAP,ENTREZID,BIOSOURCE_POSITION,GENETYPE,LOCUS,DESCRIPTION,SUMMARY,gene_family
17137,ENSG00000117971,ENSG00000117971,CHRNB4,cholinergic receptor nicotinic beta 4 subunit,15q25.1,1143,15,protein-coding,CHRNB4,cholinergic receptor nicotinic beta 4 subunit,"This gene is found within a conserved gene cluster and encodes one of the beta subunits of the nicotinic acetylcholine receptor (nAChRs) superfamily which form ligand-gated ion channels with a central pore that forms a cation channel. Neuronal nAChRs are pentameric structures that can be either homomeric or heteromeric, with heteromeric structures containing both alpha and beta subunits. Each subunit contains an extracellular amino terminus and four transmembrane domains. Nicotine is one of the agonists that binds to the receptor. Variants in this gene have been associated with nicotine dependence and lung cancer. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Sep 2017]",Ion Channel
12485,ENSG00000109158,ENSG00000109158,GABRA4,gamma-aminobutyric acid type A receptor alpha4 subunit,4p12,2557,4,protein-coding,GABRA4,gamma-aminobutyric acid type A receptor alpha4 subunit,"Gamma-aminobutyric acid (GABA) is the major inhibitory neurotransmitter in the mammalian brain where it acts at GABA-A receptors, which are ligand-gated chloride channels. Chloride conductance of these channels can be modulated by agents such as benzodiazepines that bind to the GABA-A receptor. At least 16 distinct subunits of GABA-A receptors have been identified. This gene encodes subunit alpha-4, which is involved in the etiology of autism and eventually increases autism risk through interaction with another subunit, gamma-aminobutyric acid receptor beta-1 (GABRB1). Alternatively spliced transcript variants encoding different isoforms have been found in this gene.[provided by RefSeq, Feb 2011]",Ion Channel
14703,ENSG00000145864,ENSG00000145864,GABRB2,gamma-aminobutyric acid type A receptor beta2 subunit,5q34,2561,5,protein-coding,GABRB2,gamma-aminobutyric acid type A receptor beta2 subunit,"The gamma-aminobutyric acid (GABA) A receptor is a multisubunit chloride channel that mediates the fastest inhibitory synaptic transmission in the central nervous system. This gene encodes GABA A receptor, beta 2 subunit. It is mapped to chromosome 5q34 in a cluster comprised of genes encoding alpha 1 and gamma 2 subunits of the GABA A receptor. Alternative splicing of this gene generates 2 transcript variants, differing by a 114 bp insertion. [provided by RefSeq, Jul 2008]",Ion Channel
13019,ENSG00000166206,ENSG00000166206,GABRB3,gamma-aminobutyric acid type A receptor beta3 subunit,15q12,2562,15,protein-coding,GABRB3,gamma-aminobutyric acid type A receptor beta3 subunit,"This gene encodes a member of the ligand-gated ionic channel family. The encoded protein is one the subunits of a multi-subunit chloride channel that serves as the receptor for gamma-aminobutyric acid, a major inhibitory neurotransmitter of the mammalian nervous system. This gene is located on the long arm of chromosome 15 in a cluster with two other genes encoding related subunits of the family. This gene may be associated with the pathogenesis of several disorders including Angelman syndrome, Prader-Willi syndrome, nonsyndromic orofacial clefts, epilepsy and autism. Alternatively spliced transcript variants encoding distinct isoforms have been described. [provided by RefSeq, Jul 2013]",Ion Channel
14652,ENSG00000163285,ENSG00000163285,GABRG1,gamma-aminobutyric acid type A receptor gamma1 subunit,4p12,2565,4,protein-coding,GABRG1,gamma-aminobutyric acid type A receptor gamma1 subunit,"The protein encoded by this gene belongs to the ligand-gated ionic channel family. It is an integral membrane protein and plays an important role in inhibiting neurotransmission by binding to the benzodiazepine receptor and opening an integral chloride channel. This gene is clustered with three other family members on chromosome 4. [provided by RefSeq, Jul 2008]",Ion Channel
14705,ENSG00000113327,ENSG00000113327,GABRG2,gamma-aminobutyric acid type A receptor gamma2 subunit,5q34,2566,5,protein-coding,GABRG2,gamma-aminobutyric acid type A receptor gamma2 subunit,"This gene encodes a gamma-aminobutyric acid (GABA) receptor. GABA is the major inhibitory neurotransmitter in the mammlian brain, where it acts at GABA-A receptors, which are ligand-gated chloride channels. GABA-A receptors are pentameric, consisting of proteins from several subunit classes: alpha, beta, gamma, delta and rho. Mutations in this gene have been associated with epilepsy and febrile seizures. Multiple transcript variants encoding different isoforms have been identified for this gene. [provided by RefSeq, Jul 2008]",Ion Channel
12756,ENSG00000155511,ENSG00000155511,GRIA1,glutamate ionotropic receptor AMPA type subunit 1,5q33.2,2890,5,protein-coding,GRIA1,glutamate ionotropic receptor AMPA type subunit 1,"Glutamate receptors are the predominant excitatory neurotransmitter receptors in the mammalian brain and are activated in a variety of normal neurophysiologic processes. These receptors are heteromeric protein complexes with multiple subunits, each possessing transmembrane regions, and all arranged to form a ligand-gated ion channel. The classification of glutamate receptors is based on their activation by different pharmacologic agonists. This gene belongs to a family of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate (AMPA) receptors. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",Ion Channel
13612,ENSG00000120251,ENSG00000120251,GRIA2,glutamate ionotropic receptor AMPA type subunit 2,4q32.1,2891,4,protein-coding,GRIA2,glutamate ionotropic receptor AMPA type subunit 2,"Glutamate receptors are the predominant excitatory neurotransmitter receptors in the mammalian brain and are activated in a variety of normal neurophysiologic processes. This gene product belongs to a family of glutamate receptors that are sensitive to alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate (AMPA), and function as ligand-activated cation channels. These channels are assembled from 4 related subunits, GRIA1-4. The subunit encoded by this gene (GRIA2) is subject to RNA editing (CAG->CGG; Q->R) within the second transmembrane domain, which is thought to render the channel impermeable to Ca(2+). Human and animal studies suggest that pre-mRNA editing is essential for brain function, and defective GRIA2 RNA editing at the Q/R site may be relevant to amyotrophic lateral sclerosis (ALS) etiology. Alternative splicing, resulting in transcript variants encoding different isoforms, (including the flip and flop isoforms that vary in their signal transduction properties), has been noted for this gene. [provided by RefSeq, Jul 2008]",Ion Channel
15221,ENSG00000125675,ENSG00000125675,GRIA3,glutamate ionotropic receptor AMPA type subunit 3,Xq25,2892,X,protein-coding,GRIA3,glutamate ionotropic receptor AMPA type subunit 3,"Glutamate receptors are the predominant excitatory neurotransmitter receptors in the mammalian brain and are activated in a variety of normal neurophysiologic processes. These receptors are heteromeric protein complexes composed of multiple subunits, arranged to form ligand-gated ion channels. The classification of glutamate receptors is based on their activation by different pharmacologic agonists. The subunit encoded by this gene belongs to a family of AMPA (alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate)-sensitive glutamate receptors, and is subject to RNA editing (AGA->GGA; R->G). Alternative splicing at this locus results in different isoforms, which may vary in their signal transduction properties. [provided by RefSeq, Jul 2008]",Ion Channel
15175,ENSG00000171189,ENSG00000171189,GRIK1,glutamate ionotropic receptor kainate type subunit 1,21q21.3,2897,21,protein-coding,GRIK1,glutamate ionotropic receptor kainate type subunit 1,"Glutamate receptors are the predominant excitatory neurotransmitter receptors in the mammalian brain and are activated in a variety of normal neurophysiologic processes. This gene product belongs to the kainate family of glutamate receptors, which are composed of four subunits and function as ligand-activated ion channels. The subunit encoded by this gene is subject to RNA editing (CAG->CGG; Q->R) within the second transmembrane domain, which is thought to alter the properties of ion flow. Alternative splicing, resulting in transcript variants encoding different isoforms, has been noted for this gene. [provided by RefSeq, Jul 2008]",Ion Channel
12930,ENSG00000164418,ENSG00000164418,GRIK2,glutamate ionotropic receptor kainate type subunit 2,6q16.3,2898,6,protein-coding,GRIK2,glutamate ionotropic receptor kainate type subunit 2,"Glutamate receptors are the predominant excitatory neurotransmitter receptors in the mammalian brain and are activated in a variety of normal neurophysiologic processes. This gene product belongs to the kainate family of glutamate receptors, which are composed of four subunits and function as ligand-activated ion channels. The subunit encoded by this gene is subject to RNA editing at multiple sites within the first and second transmembrane domains, which is thought to alter the structure and function of the receptor complex. Alternatively spliced transcript variants encoding different isoforms have also been described for this gene. Mutations in this gene have been associated with autosomal recessive cognitive disability. [provided by RefSeq, Jul 2008]",Ion Channel
14498,ENSG00000163873,ENSG00000163873,GRIK3,glutamate ionotropic receptor kainate type subunit 3,1p34.3,2899,1,protein-coding,GRIK3,glutamate ionotropic receptor kainate type subunit 3,"Glutamate receptors are the predominant excitatory neurotransmitter receptors in the mammalian brain and are activated in a variety of normal neurophysiologic processes. This gene product belongs to the kainate family of glutamate receptors, which are composed of four subunits and function as ligand-activated ion channels. It is not certain if the subunit encoded by this gene is subject to RNA editing as the other 2 family members (GRIK1 and GRIK2). A Ser310Ala polymorphism has been associated with schizophrenia, and there are conflicting reports of its association with the pathogenesis of delirium tremens in alcoholics. [provided by RefSeq, Jul 2008]",Ion Channel
14924,ENSG00000149403,ENSG00000149403,GRIK4,glutamate ionotropic receptor kainate type subunit 4,11q23.3,2900,11,protein-coding,GRIK4,glutamate ionotropic receptor kainate type subunit 4,"This gene encodes a protein that belongs to the glutamate-gated ionic channel family. Glutamate functions as the major excitatory neurotransmitter in the central nervous system through activation of ligand-gated ion channels and G protein-coupled membrane receptors. The protein encoded by this gene forms functional heteromeric kainate-preferring ionic channels with the subunits encoded by related gene family members. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2013]",Ion Channel
14408,ENSG00000176884,ENSG00000176884,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,9q34.3,2902,9,protein-coding,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,"The protein encoded by this gene is a critical subunit of N-methyl-D-aspartate receptors, members of the glutamate receptor channel superfamily which are heteromeric protein complexes with multiple subunits arranged to form a ligand-gated ion channel. These subunits play a key role in the plasticity of synapses, which is believed to underlie memory and learning. Cell-specific factors are thought to control expression of different isoforms, possibly contributing to the functional diversity of the subunits. Alternatively spliced transcript variants have been described. [provided by RefSeq, Jul 2008]",Ion Channel
13041,ENSG00000183454,ENSG00000183454,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,16p13.2,2903,16,protein-coding,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,"This gene encodes a member of the glutamate-gated ion channel protein family. The encoded protein is an N-methyl-D-aspartate (NMDA) receptor subunit. NMDA receptors are both ligand-gated and voltage-dependent, and are involved in long-term potentiation, an activity-dependent increase in the efficiency of synaptic transmission thought to underlie certain kinds of memory and learning. These receptors are permeable to calcium ions, and activation results in a calcium influx into post-synaptic cells, which results in the activation of several signaling cascades. Disruption of this gene is associated with focal epilepsy and speech disorder with or without cognitive disability. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2014]",Ion Channel
14937,ENSG00000273079,ENSG00000273079,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,12p13.1,2904,12,protein-coding,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,"This gene encodes a member of the N-methyl-D-aspartate (NMDA) receptor family within the ionotropic glutamate receptor superfamily. The encoded protein is a subunit of the NMDA receptor ion channel which acts as an agonist binding site for glutamate. The NMDA receptors mediate a slow calcium-permeable component of excitatory synaptic transmission in the central nervous system. The NMDA receptors are heterotetramers of seven genetically encoded, differentially expressed subunits including NR1 (GRIN1), NR2 (GRIN2A, GRIN2B, GRIN2C, or GRIN2D) and NR3 (GRIN3A or GRIN3B). The early expression of this gene in development suggests a role in brain development, circuit formation, synaptic plasticity, and cellular migration and differentiation. Naturally occurring mutations within this gene are associated with neurodevelopmental disorders including autism spectrum disorder, attention deficit hyperactivity disorder, epilepsy, and schizophrenia. [provided by RefSeq, Aug 2017]",Ion Channel
16957,ENSG00000130035,ENSG00000130035,KCNA6,potassium voltage-gated channel subfamily A member 6,12p13.32,3742,12,protein-coding,KCNA6,potassium voltage-gated channel subfamily A member 6,"Potassium channels represent the most complex class of voltage-gated ion channels from both functional and structural standpoints. Their diverse functions include regulating neurotransmitter release, heart rate, insulin secretion, neuronal excitability, epithelial electrolyte transport, smooth muscle contraction, and cell volume. Four sequence-related potassium channel genes - shaker, shaw, shab, and shal - have been identified in Drosophila, and each has been shown to have human homolog(s). This gene encodes a member of the potassium channel, voltage-gated, shaker-related subfamily. This member contains six membrane-spanning domains with a shaker-type repeat in the fourth segment. It belongs to the delayed rectifier class. The coding region of this gene is intronless, and the gene is clustered with genes KCNA1 and KCNA5 on chromosome 12. [provided by RefSeq, Jul 2008]",Ion Channel
11556,ENSG00000158445,ENSG00000158445,KCNB1,potassium voltage-gated channel subfamily B member 1,20q13.13,3745,20,protein-coding,KCNB1,potassium voltage-gated channel subfamily B member 1,"Voltage-gated potassium (Kv) channels represent the most complex class of voltage-gated ion channels from both functional and structural standpoints. Their diverse functions include regulating neurotransmitter release, heart rate, insulin secretion, neuronal excitability, epithelial electrolyte transport, smooth muscle contraction, and cell volume. Four sequence-related potassium channel genes - shaker, shaw, shab, and shal - have been identified in Drosophila, and each has been shown to have human homolog(s). This gene encodes a member of the potassium channel, voltage-gated, shab-related subfamily. This member is a delayed rectifier potassium channel and its activity is modulated by some other family members. [provided by RefSeq, Jul 2008]",Ion Channel
14893,ENSG00000129159,ENSG00000129159,KCNC1,potassium voltage-gated channel subfamily C member 1,11p15.1,3746,11,protein-coding,KCNC1,potassium voltage-gated channel subfamily C member 1,"This gene encodes a member of a family of integral membrane proteins that mediate the voltage-dependent potassium ion permeability of excitable membranes. Alternative splicing is thought to result in two transcript variants encoding isoforms that differ at their C-termini. These isoforms have had conflicting names in the literature: the longer isoform has been called both ""b"" and ""alpha"", while the shorter isoform has been called both ""a"" and ""beta"" (PMIDs 1432046, 12091563). [provided by RefSeq, Oct 2014]",Ion Channel
14586,ENSG00000144285,ENSG00000144285,SCN1A,sodium voltage-gated channel alpha subunit 1,2q24.3,6323,2,protein-coding,SCN1A,sodium voltage-gated channel alpha subunit 1,"Voltage-dependent sodium channels are heteromeric complexes that regulate sodium exchange between intracellular and extracellular spaces and are essential for the generation and propagation of action potentials in muscle cells and neurons. Each sodium channel is composed of a large pore-forming, glycosylated alpha subunit and two smaller beta subunits. This gene encodes a sodium channel alpha subunit, which has four homologous domains, each of which contains six transmembrane regions. Allelic variants of this gene are associated with generalized epilepsy with febrile seizures and epileptic encephalopathy. Alternative splicing results in multiple transcript variants. The RefSeq Project has decided to create four representative RefSeq records. Three of the transcript variants are supported by experimental evidence and the fourth contains alternate 5' untranslated exons, the exact combination of which have not been experimentally confirmed for the full-length transcript. [provided by RefSeq, Oct 2015]",Ion Channel
10835,ENSG00000177098,ENSG00000177098,SCN4B,sodium voltage-gated channel beta subunit 4,11q23.3,6330,11,protein-coding,SCN4B,sodium voltage-gated channel beta subunit 4,"The protein encoded by this gene is one of several sodium channel beta subunits. These subunits interact with voltage-gated alpha subunits to change sodium channel kinetics. The encoded transmembrane protein forms interchain disulfide bonds with SCN2A. Defects in this gene are a cause of long QT syndrome type 10 (LQT10). Three protein-coding and one non-coding transcript variant have been found for this gene.[provided by RefSeq, Mar 2009]",Ion Channel
6294,ENSG00000142208,ENSG00000142208,AKT1,AKT serine/threonine kinase 1,14q32.33,207,14,protein-coding,AKT1,AKT serine/threonine kinase 1,"The serine-threonine protein kinase encoded by the AKT1 gene is catalytically inactive in serum-starved primary and immortalized fibroblasts. AKT1 and the related AKT2 are activated by platelet-derived growth factor. The activation is rapid and specific, and it is abrogated by mutations in the pleckstrin homology domain of AKT1. It was shown that the activation occurs through phosphatidylinositol 3-kinase. In the developing nervous system AKT is a critical mediator of growth factor-induced neuronal survival. Survival factors can suppress apoptosis in a transcription-independent manner by activating the serine/threonine kinase AKT1, which then phosphorylates and inactivates components of the apoptotic machinery. Mutations in this gene have been associated with the Proteus syndrome. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2011]",Kinase
11983,ENSG00000070808,ENSG00000070808,CAMK2A,calcium/calmodulin dependent protein kinase II alpha,5q32,815,5,protein-coding,CAMK2A,calcium/calmodulin dependent protein kinase II alpha,"The product of this gene belongs to the serine/threonine protein kinases family, and to the Ca(2+)/calmodulin-dependent protein kinases subfamily. Calcium signaling is crucial for several aspects of plasticity at glutamatergic synapses. This calcium calmodulin-dependent protein kinase is composed of four different chains: alpha, beta, gamma, and delta. The alpha chain encoded by this gene is required for hippocampal long-term potentiation (LTP) and spatial learning. In addition to its calcium-calmodulin (CaM)-dependent activity, this protein can undergo autophosphorylation, resulting in CaM-independent activity. Several transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Jun 2018]",Kinase
3727,ENSG00000164885,ENSG00000164885,CDK5,cyclin dependent kinase 5,7q36.1,1020,7,protein-coding,CDK5,cyclin dependent kinase 5,"This gene encodes a proline-directed serine/threonine kinase that is a member of the cyclin-dependent kinase family of proteins. Unlike other members of the family, the protein encoded by this gene does not directly control cell cycle regulation. Instead the protein, which is predominantly expressed at high levels in mammalian postmitotic central nervous system neurons, functions in diverse processes such as synaptic plasticity and neuronal migration through phosphorylation of proteins required for cytoskeletal organization, endocytosis and exocytosis, and apoptosis. In humans, an allelic variant of the gene that results in undetectable levels of the protein has been associated with lethal autosomal recessive lissencephaly-7. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2015]",Kinase
17559,ENSG00000008086,ENSG00000008086,CDKL5,cyclin dependent kinase like 5,Xp22.13,6792,X,protein-coding,CDKL5,cyclin dependent kinase like 5,"This gene is a member of Ser/Thr protein kinase family and encodes a phosphorylated protein with protein kinase activity. Mutations in this gene have been associated with X-linked infantile spasm syndrome (ISSX), also known as X-linked West syndrome, and Rett syndrome (RTT). Alternate transcriptional splice variants have been characterized. [provided by RefSeq, Jul 2008]",Kinase
13885,ENSG00000122966,ENSG00000122966,CIT,citron rho-interacting serine/threonine kinase,12q24.23,11113,12,protein-coding,CIT,citron rho-interacting serine/threonine kinase,"This gene encodes a serine/threonine-protein kinase that functions in cell division. Together with the kinesin KIF14, this protein localizes to the central spindle and midbody, and functions to promote efficient cytokinesis. This protein is involved in central nervous system development. Polymorphisms in this gene are associated with bipolar disorder and risk for schizophrenia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2011]",Kinase
12801,ENSG00000065361,ENSG00000065361,ERBB3,erb-b2 receptor tyrosine kinase 3,12q13.2,2065,12,protein-coding,ERBB3,erb-b2 receptor tyrosine kinase 3,"This gene encodes a member of the epidermal growth factor receptor (EGFR) family of receptor tyrosine kinases. This membrane-bound protein has a neuregulin binding domain but not an active kinase domain. It therefore can bind this ligand but not convey the signal into the cell through protein phosphorylation. However, it does form heterodimers with other EGF receptor family members which do have kinase activity. Heterodimerization leads to the activation of pathways which lead to cell proliferation or differentiation. Amplification of this gene and/or overexpression of its protein have been reported in numerous cancers, including prostate, bladder, and breast tumors. Alternate transcriptional splice variants encoding different isoforms have been characterized. One isoform lacks the intermembrane region and is secreted outside the cell. This form acts to modulate the activity of the membrane-bound form. Additional splice variants have also been reported, but they have not been thoroughly characterized. [provided by RefSeq, Jul 2008]",Kinase
12464,ENSG00000178568,ENSG00000178568,ERBB4,erb-b2 receptor tyrosine kinase 4,2q34,2066,2,protein-coding,ERBB4,erb-b2 receptor tyrosine kinase 4,"This gene is a member of the Tyr protein kinase family and the epidermal growth factor receptor subfamily. It encodes a single-pass type I membrane protein with multiple cysteine rich domains, a transmembrane domain, a tyrosine kinase domain, a phosphotidylinositol-3 kinase binding site and a PDZ domain binding motif. The protein binds to and is activated by neuregulins and other factors and induces a variety of cellular responses including mitogenesis and differentiation. Multiple proteolytic events allow for the release of a cytoplasmic fragment and an extracellular fragment. Mutations in this gene have been associated with cancer. Alternatively spliced variants which encode different protein isoforms have been described; however, not all variants have been fully characterized. [provided by RefSeq, Jul 2008]",Kinase
9996,ENSG00000157404,ENSG00000157404,KIT,KIT proto-oncogene receptor tyrosine kinase,4q12,3815,4,protein-coding,KIT,"KIT proto-oncogene, receptor tyrosine kinase","This gene encodes the human homolog of the proto-oncogene c-kit. C-kit was first identified as the cellular homolog of the feline sarcoma viral oncogene v-kit. This protein is a type 3 transmembrane receptor for MGF (mast cell growth factor, also known as stem cell factor). Mutations in this gene are associated with gastrointestinal stromal tumors, mast cell disease, acute myelogenous lukemia, and piebaldism. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",Kinase
5484,ENSG00000188906,ENSG00000188906,LRRK2,leucine rich repeat kinase 2,12q12,120892,12,protein-coding,LRRK2,leucine rich repeat kinase 2,"This gene is a member of the leucine-rich repeat kinase family and encodes a protein with an ankryin repeat region, a leucine-rich repeat (LRR) domain, a kinase domain, a DFG-like motif, a RAS domain, a GTPase domain, a MLK-like domain, and a WD40 domain. The protein is present largely in the cytoplasm but also associates with the mitochondrial outer membrane. Mutations in this gene have been associated with Parkinson disease-8. [provided by RefSeq, Jul 2008]",Kinase
10404,ENSG00000105976,ENSG00000105976,MET,"MET proto-oncogene, receptor tyrosine kinase",7q31.2,4233,7,protein-coding,MET,"MET proto-oncogene, receptor tyrosine kinase","This gene encodes a member of the receptor tyrosine kinase family of proteins and the product of the proto-oncogene MET. The encoded preproprotein is proteolytically processed to generate alpha and beta subunits that are linked via disulfide bonds to form the mature receptor. Further processing of the beta subunit results in the formation of the M10 peptide, which has been shown to reduce lung fibrosis. Binding of its ligand, hepatocyte growth factor, induces dimerization and activation of the receptor, which plays a role in cellular survival, embryogenesis, and cellular migration and invasion. Mutations in this gene are associated with papillary renal cell carcinoma, hepatocellular carcinoma, and various head and neck cancers. Amplification and overexpression of this gene are also associated with multiple human cancers. [provided by RefSeq, May 2016]",Kinase
10580,ENSG00000148053,ENSG00000148053,NTRK2,neurotrophic receptor tyrosine kinase 2,9q21.33,4915,9,protein-coding,NTRK2,neurotrophic receptor tyrosine kinase 2,"This gene encodes a member of the neurotrophic tyrosine receptor kinase (NTRK) family. This kinase is a membrane-bound receptor that, upon neurotrophin binding, phosphorylates itself and members of the MAPK pathway. Signalling through this kinase leads to cell differentiation. Mutations in this gene have been associated with obesity and mood disorders. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2014]",Kinase
883,ENSG00000076356,ENSG00000076356,PLXNA2,plexin A2,1q32.2,5362,1,protein-coding,PLXNA2,plexin A2,"This gene encodes a member of the plexin-A family of semaphorin co-receptors. Semaphorins are a large family of secreted or membrane-bound proteins that mediate repulsive effects on axon pathfinding during nervous system development. A subset of semaphorins are recognized by plexin-A/neuropilin transmembrane receptor complexes, triggering a cellular signal transduction cascade that leads to axon repulsion. This plexin-A family member is thought to transduce signals from semaphorin-3A and -3C. [provided by RefSeq, Jul 2008]",Kinase
6769,ENSG00000166501,ENSG00000166501,PRKCB,protein kinase C beta,16p12.2-p12.1,5579,16,protein-coding,PRKCB,protein kinase C beta,"Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by calcium and second messenger diacylglycerol. PKC family members phosphorylate a wide variety of protein targets and are known to be involved in diverse cellular signaling pathways. PKC family members also serve as major receptors for phorbol esters, a class of tumor promoters. Each member of the PKC family has a specific expression profile and is believed to play a distinct role in cells. The protein encoded by this gene is one of the PKC family members. This protein kinase has been reported to be involved in many different cellular functions, such as B cell activation, apoptosis induction, endothelial cell proliferation, and intestinal sugar absorption. Studies in mice also suggest that this kinase may also regulate neuronal functions and correlate fear-induced conflict behavior after stress. Alternatively spliced transcript variants encoding distinct isoforms have been reported. [provided by RefSeq, Jul 2008]",Kinase
6708,ENSG00000183044,ENSG00000183044,ABAT,4-aminobutyrate aminotransferase,16p13.2,18,16,protein-coding,ABAT,4-aminobutyrate aminotransferase,"4-aminobutyrate aminotransferase (ABAT) is responsible for catabolism of gamma-aminobutyric acid (GABA), an important, mostly inhibitory neurotransmitter in the central nervous system, into succinic semialdehyde. The active enzyme is a homodimer of 50-kD subunits complexed to pyridoxal-5-phosphate. The protein sequence is over 95% similar to the pig protein. GABA is estimated to be present in nearly one-third of human synapses. ABAT in liver and brain is controlled by 2 codominant alleles with a frequency in a Caucasian population of 0.56 and 0.44. The ABAT deficiency phenotype includes psychomotor retardation, hypotonia, hyperreflexia, lethargy, refractory seizures, and EEG abnormalities. Multiple alternatively spliced transcript variants encoding the same protein isoform have been found for this gene. [provided by RefSeq, Jul 2008]",Metabolic Enzyme
11354,ENSG00000159640,ENSG00000159640,ACE,angiotensin I converting enzyme,17q23.3,1636,17,protein-coding,ACE,angiotensin I converting enzyme,"This gene encodes an enzyme involved in catalyzing the conversion of angiotensin I into a physiologically active peptide angiotensin II. Angiotensin II is a potent vasopressor and aldosterone-stimulating peptide that controls blood pressure and fluid-electrolyte balance. This enzyme plays a key role in the renin-angiotensin system. Many studies have associated the presence or absence of a 287 bp Alu repeat element in this gene with the levels of circulating enzyme or cardiovascular pathophysiologies. Multiple alternatively spliced transcript variants encoding different isoforms have been identified, and two most abundant spliced variants encode the somatic form and the testicular form, respectively, that are equally active. [provided by RefSeq, May 2010]",Metabolic Enzyme
5751,ENSG00000111275,ENSG00000111275,ALDH2,aldehyde dehydrogenase 2 family member,12q24.12,217,12,protein-coding,ALDH2,aldehyde dehydrogenase 2 family member,"This protein belongs to the aldehyde dehydrogenase family of proteins. Aldehyde dehydrogenase is the second enzyme of the major oxidative pathway of alcohol metabolism. Two major liver isoforms of aldehyde dehydrogenase, cytosolic and mitochondrial, can be distinguished by their electrophoretic mobilities, kinetic properties, and subcellular localizations. Most Caucasians have two major isozymes, while approximately 50% of East Asians have the cytosolic isozyme but not the mitochondrial isozyme. A remarkably higher frequency of acute alcohol intoxication among East Asians than among Caucasians could be related to the absence of a catalytically active form of the mitochondrial isozyme. The increased exposure to acetaldehyde in individuals with the catalytically inactive form may also confer greater susceptibility to many types of cancer. This gene encodes a mitochondrial isoform, which has a low Km for acetaldehydes, and is localized in mitochondrial matrix. Alternative splicing results in multiple transcript variants encoding distinct isoforms.[provided by RefSeq, Nov 2016]",Metabolic Enzyme
7349,ENSG00000173786,ENSG00000173786,CNP,"2',3'-cyclic nucleotide 3' phosphodiesterase",17q21.2,1267,17,protein-coding,CNP,"2',3'-cyclic nucleotide 3' phosphodiesterase",NA,Metabolic Enzyme
8880,ENSG00000093010,ENSG00000093010,COMT,catechol-O-methyltransferase,22q11.21,1312,22,protein-coding,COMT,catechol-O-methyltransferase,"Catechol-O-methyltransferase catalyzes the transfer of a methyl group from S-adenosylmethionine to catecholamines, including the neurotransmitters dopamine, epinephrine, and norepinephrine. This O-methylation results in one of the major degradative pathways of the catecholamine transmitters. In addition to its role in the metabolism of endogenous substances, COMT is important in the metabolism of catechol drugs used in the treatment of hypertension, asthma, and Parkinson disease. COMT is found in two forms in tissues, a soluble form (S-COMT) and a membrane-bound form (MB-COMT). The differences between S-COMT and MB-COMT reside within the N-termini. Several transcript variants are formed through the use of alternative translation initiation sites and promoters. [provided by RefSeq, Sep 2008]",Metabolic Enzyme
17819,ENSG00000110887,ENSG00000110887,DAO,D-amino acid oxidase,12q24.11,1610,12,protein-coding,DAO,D-amino acid oxidase,"This gene encodes the peroxisomal enzyme D-amino acid oxidase. The enzyme is a flavoprotein which uses flavin adenine dinucleotide (FAD) as its prosthetic group. Its substrates include a wide variety of D-amino acids, but it is inactive on the naturally occurring L-amino acids. Its biological function is not known; it may act as a detoxifying agent which removes D-amino acids that accumulate during aging. In mice, it degrades D-serine, a co-agonist of the NMDA receptor. This gene may play a role in the pathophysiology of schizophrenia. [provided by RefSeq, Jul 2008]",Metabolic Enzyme
12461,ENSG00000128683,ENSG00000128683,GAD1,glutamate decarboxylase 1,2q31.1,2571,2,protein-coding,GAD1,glutamate decarboxylase 1,"This gene encodes one of several forms of glutamic acid decarboxylase, identified as a major autoantigen in insulin-dependent diabetes. The enzyme encoded is responsible for catalyzing the production of gamma-aminobutyric acid from L-glutamic acid. A pathogenic role for this enzyme has been identified in the human pancreas since it has been identified as an autoantigen and an autoreactive T cell target in insulin-dependent diabetes. This gene may also play a role in the stiff man syndrome. Deficiency in this enzyme has been shown to lead to pyridoxine dependency with seizures. Alternative splicing of this gene results in two products, the predominant 67-kD form and a less-frequent 25-kD form. [provided by RefSeq, Jul 2008]",Metabolic Enzyme
